,Spread1_Team,Spread2_Team,Spread1_Decimal,Spread2_Decimal,Spread1_Ou,Spread2_Ou,Spread1_Probability,Spread2_Probability,Spread1_Ev,Spread2_Ev,Spread1_Site,Spread2_Site,Date_Time
0,Bilibili Gaming,Top Esports,2.32,1.74,-1.5,1.5,44,56,2.08,-2.56,Pinnacle,"Bovada, BetNow",Apr 20 04:30
1,LOUD,paiN Gaming,2.13,1.8,-1.5,1.5,47,53,-0.77,-3.86,Pinnacle,"Bovada, BetNow",Apr 20 12:00
