,Total1_Team,Total2_Team,Total1_Decimal,Total2_Decimal,Total_Over,Total_Under,Total1_Probability,Total2_Probability,Total1_Ev,Total2_Ev,Total1_Site,Total2_Site,Date_Time
0,Bilibili Gaming,Top Esports,2.65,1.531,4.5,4.5,36,64,-3.7,-2.54,"Bovada, BetNow",Pinnacle,Apr 20 04:30
1,LOUD,paiN Gaming,2.7,1.465,4.5,4.5,35,65,-5.37,-4.85,"Bovada, BetNow",Pinnacle,Apr 20 12:00
