,Win1_Team,Win2_Team,Win1_Decimal,Win2_Decimal,Win1_Probability,Win2_Probability,Win1_Ev,Win2_Ev,Win1_Site,Win2_Site,Date_Time
0,Bilibili Gaming,Top Esports,1.54,2.6,62,38,-3.86,-2.32,"Bovada, Thunderpick, BetNow, Rivalry, Everygame","Bovada, Thunderpick, BetNow, Rivalry, Everygame",Apr 20 04:30
1,Ground Zero Gaming,Antic Esports,1.625,2.11,56,43,-8.02,-8.44,"Pinnacle, Rivalry",Thunderpick,03:00
2,LOUD,paiN Gaming,1.483,2.7,65,35,-4.34,-4.16,Pinnacle,"Bovada, Thunderpick, BetNow, Rivalry",Apr 20 12:00
3,paiN Gaming Academy,Keyd Academy,1.83,1.84,50,50,-7.97,-8.54,Thunderpick,Thunderpick,12:00
